time,p_rate
45200.0,23.304287749458638
45201.00008065166,23.34476397825745
45202.00016130333,23.306660426748703
45203.00024195499,23.189537068248587
45204.00032260666,23.00205606022078
45205.000403258324,22.759964951096322
45206.00048390999,22.477439157394763
45207.000564561655,22.159078749245765
45208.000645213324,21.79896100260927
45209.000725864986,21.38607370984486
45210.000806516655,20.911849186479916
45211.00088716832,20.375530733511194
45212.000967819986,19.78406454425673
45213.00104847165,19.14750876302155
45214.00112912332,18.473750076193806
45215.00120977498,17.76650421192293
45216.00129042665,17.02650318786281
45217.00137107831,16.254257743167056
45218.00145172998,15.451961795811657
45219.00153238164,14.625765073629761
45220.00161303331,13.785710447409938
45221.00169368497,12.944007685151036
45222.00177433664,12.110883912366178
45223.0018549883,11.289974904912466
45224.00193563997,10.47619484089056
45225.00201629163,9.659723164619104
45226.0020969433,8.833525146814237
45227.002177594964,7.999242377299105
45228.00225824663,7.16629761650084
45229.002338898295,6.345554665390243
45230.002419549965,5.542415038217819
45231.00250020163,4.7534239374215765
45232.002580853296,3.9692257823309647
45233.00266150496,3.180616675216619
45234.00274215663,2.3836358922592007
45235.00282280829,1.5822138235292706
45236.00290345996,0.7861416985095124
45237.00298411162,0.005033785828220642
45238.00306476329,-0.7565635907623168
45239.00314541495,-1.4989717433575562
45240.00322606662,-2.2215579549891635
45241.00330671828,-2.9163651833617763
45242.00338736995,-3.5673490658315345
45243.00346802161,-4.156205746732217
45244.00354867328,-4.674329378422126
45245.00362932494,-5.130974287715611
45246.00370997661,-5.549469836421365
45247.003790628274,-5.95364233651654
45248.00387127994,-6.354674897922833
45249.003951931605,-6.7467534594329495
45250.004032583274,-7.110088657370666
45251.004113234936,-7.420221720891197
45252.004193886605,-7.65841826283857
45253.00427453827,-7.819307018244098
45254.004355189936,-7.90874243833915
45255.0044358416,-7.933992071336905
45256.00451649327,-7.896803917029203
45257.00459714493,-7.79431473622181
45258.0046777966,-7.623020695526593
45259.00475844826,-7.381691523028377
45260.00483909993,-7.073733792224903
45261.00491975159,-6.708892480728673
45262.00500040326,-6.298854733788538
45263.00508105492,-5.847908891755307
45264.00516170659,-5.35082324489762
45265.00524235825,-4.8023205241246245
45266.00532300992,-4.20865693563251
45267.005403661584,-3.5907975773841927
45268.00548431325,-2.976278697813582
45269.005564964915,-2.3874925847226742
45270.005645616584,-1.8320168287724616
45271.005726268246,-1.3032529440328435
45272.005806919915,-0.7924675716350755
45273.00588757158,-0.29821078048883254
45274.005968223246,0.1740921363468054
45275.00604887491,0.6167908129273748
45276.00612952658,1.0195703656271085
45277.00621017824,1.366214488636349
45278.00629082991,1.6362310103840234
45279.00637148157,1.8112791509812678
45280.00645213324,1.8816599847849462
45281.0065327849,1.8486340167735569
45282.00661343657,1.725751331171299
45283.00669408823,1.535086989616867
45284.0067747399,1.29836743154194
45285.00685539156,1.0262191596940653
45286.00693604323,0.7156769377010874
45287.00701669489,0.35874119410348626
45288.00709734656,-0.0469748389449588
45289.007177998225,-0.4974142705498226
45290.00725864989,-0.9902706219711152
45291.007339301555,-1.529784099888864
45292.007419953225,-2.1234398815654822
45293.00750060489,-2.775207014062149
45294.007581256556,-3.483667194954775
45295.00766190822,-4.244623975327313
45296.00774255989,-5.051628384485558
45297.00782321155,-5.893555460595807
45298.00790386322,-6.752819298902507
45299.00798451488,-7.608878847137995
45300.00806516655,-8.443757554628895
45301.00814581821,-9.247190711743722
45302.00822646988,-10.020263919693265
45303.00830712154,-10.77460072086857
45304.00838777321,-11.526595080625409
45305.00846842487,-12.2906324097326
45306.00854907654,-13.071554594776229
45307.0086297282,-13.861706417951288
45308.00871037987,-14.647020037864435
45309.008791031534,-15.417637028206066
45310.0088716832,-16.1756849551506
45311.008952334865,-16.9347065751855
45312.009032986534,-17.7105808780122
45313.009113638196,-18.512623608496973
45314.009194289865,-19.337720396936373
45315.00927494153,-20.170635934945032
45316.009355593196,-20.98941723802648
45317.00943624486,-21.772501030642598
45318.00951689653,-22.50579527617218
45319.00959754819,-23.188543744945818
45320.00967819986,-23.83557457460047
45321.00975885152,-24.472609762208176
45322.00983950319,-25.12557158711698
45323.00992015485,-25.809724574985907
45324.01000080652,-26.525185903243653
45325.01008145818,-27.261162604855105
45326.01016210985,-28.005514536347956
45327.01024276151,-28.751811273051064
45328.01032341318,-29.50318991637912
45329.010404064844,-30.26979945751622
45330.010484716506,-31.060085344232046
45331.010565368175,-31.872753162922223
45332.01064601984,-32.69762746505233
45333.010726671506,-33.527105738748666
45334.01080732317,-34.37079268840972
45335.01088797484,-35.262893955295084
45336.0109686265,-36.2512222838183
45337.01104927817,-37.37285832438322
45338.01112992983,-38.631146689910814
45339.0112105815,-39.99209310435645
45340.01129123316,-41.40377502523307
45341.01137188483,-42.82158052969719
45342.01145253649,-44.221876201258105
45343.01153318816,-45.59807965470289
45344.01161383982,-46.94859982332005
45345.01169449149,-48.26804261811493
45346.01177514315,-49.546889496815545
45347.01185579482,-50.77501000174365
45348.011936446484,-51.94400182929235
45349.01201709815,-53.04464273845935
45350.012097749815,-54.06279914913464
45351.012178401485,-54.97703740494956
45352.01225905315,-55.76221330891228
45353.012339704816,-56.39730266892022
45354.01242035648,-56.87410240985616
45355.01250100815,-57.19787970000128
45356.01258165981,-57.37928079741366
45357.01266231148,-57.42510006422357
45358.01274296314,-57.33199373407997
45359.01282361481,-57.086094652651305
45360.01290426647,-56.66728932270242
45361.01298491814,-56.055606598769984
45362.0130655698,-55.234735653280076
45363.01314622147,-54.18967236244864
45364.01322687313,-52.9047557517838
45365.0133075248,-51.371406524011746
45366.01338817646,-49.598347788118645
45367.01346882813,-47.61023799880191
45368.013549479794,-45.43424145626298
45369.01363013146,-43.088925926188516
45370.013710783125,-40.58437861338736
45371.013791434794,-37.93110189782657
45372.013872086456,-35.150050634562376
45373.013952738125,-32.279271223088124
45374.01403338979,-29.37342446288785
45375.014114041456,-26.497580567743487
45376.01419469312,-23.721814363755865
45377.01427534479,-21.11612687307389
45378.01435599645,-18.745614918769242
45379.01443664812,-16.667357548662757
45380.01451729978,-14.929128806596864
45381.01459795145,-13.571420871220747
45382.01467860311,-12.628870092933871
45383.01475925478,-12.127210325432877
45384.01483990644,-12.079913113917595
45385.01492055811,-12.485790121838827
45386.01500120977,-13.329005745394149
45387.01508186144,-14.583359424386815
45388.015162513104,-16.21738581207018
45389.01524316477,-18.20064301885495
45390.015323816435,-20.504860466492374
45391.015404468104,-23.099687105705723
45392.015485119766,-25.949882678270736
45393.015565771435,-29.018600944465295
45394.0156464231,-32.26992522999911
45395.015727074766,-35.66726423600241
45396.01580772643,-39.169229377061
45397.0158883781,-42.72854512396026
45398.01596902976,-46.29691563189167
45399.01604968143,-49.83137773042713
45400.01613033309,-53.295566465245315
45401.01621098476,-56.65693514950872
45402.01629163642,-59.88542667296656
45403.01637228809,-62.957167185096935
45404.01645293975,-65.85939250427838
45405.01653359142,-68.5927879393351
45406.01661424308,-71.1688854144529
45407.01669489475,-73.60406391041697
45408.01677554641,-75.91172544291659
45409.01685619808,-78.09531095618028
45410.016936849745,-80.14565800953926
45411.017017501414,-82.04412583945384
45412.017098153075,-83.77172075479513
45413.017178804745,-85.31969530271924
45414.01725945641,-86.69685829436698
45415.017340108076,-87.92996853188345
45416.01742075974,-89.05696215699392
45417.01750141141,-90.11755212138868
45418.01758206307,-91.1460901010424
45419.01766271474,-92.16819750014145
45420.0177433664,-93.20292924187906
45421.01782401807,-94.26859354361467
45422.01790466973,-95.38527997378384
45423.0179853214,-96.57245503359785
45424.01806597306,-97.84369534562501
45425.01814662473,-99.20310957497331
45426.01822727639,-100.64705887618629
45427.01830792806,-102.16806222586823
