time,pred
0,0.5139926
1,0.5140317
2,0.5141106
3,0.5143745
4,0.51450884
5,0.5140317
6,0.5141106
7,0.5143745
8,0.51450884
9,0.51463854
10,0.5141106
11,0.5143745
12,0.51450884
13,0.51463854
14,0.51478845
15,0.5143745
16,0.51450884
17,0.51463854
18,0.51478845
19,0.51475316
20,0.51450884
21,0.51463854
22,0.51478845
23,0.51475316
24,0.51467294
25,0.51463854
26,0.51478845
27,0.51475316
28,0.51467294
29,0.51468116
30,0.51478845
31,0.51475316
32,0.51467294
33,0.51468116
34,0.51459897
35,0.51475316
36,0.51467294
37,0.51468116
38,0.51459897
39,0.51453197
40,0.51467294
41,0.51468116
42,0.51459897
43,0.51453197
44,0.5145758
45,0.51468116
46,0.51459897
47,0.51453197
48,0.5145758
49,0.5146274
50,0.51459897
51,0.51453197
52,0.5145758
53,0.5146274
54,0.5146121
55,0.51453197
56,0.5145758
57,0.5146274
58,0.5146121
59,0.51474464
60,0.5145758
61,0.5146274
62,0.5146121
63,0.51474464
64,0.5149105
65,0.5146274
66,0.5146121
67,0.51474464
68,0.5149105
69,0.5152572
70,0.5146121
71,0.51474464
72,0.5149105
73,0.5152572
74,0.51549137
75,0.51474464
76,0.5149105
77,0.5152572
78,0.51549137
79,0.51550734
80,0.5149105
81,0.5152572
82,0.51549137
83,0.51550734
84,0.5155782
85,0.5152572
86,0.51549137
87,0.51550734
88,0.5155782
89,0.51559734
90,0.51549137
91,0.51550734
92,0.5155782
93,0.51559734
94,0.5155283
95,0.51550734
96,0.5155782
97,0.51559734
98,0.5155283
99,0.51560867
100,0.5155782
101,0.51559734
102,0.5155283
103,0.51560867
104,0.5158901
105,0.51559734
106,0.5155283
107,0.51560867
108,0.5158901
109,0.51613784
110,0.5155283
111,0.51560867
112,0.5158901
113,0.51613784
114,0.5163596
115,0.51560867
116,0.5158901
117,0.51613784
118,0.5163596
119,0.5165065
120,0.5158901
121,0.51613784
122,0.5163596
123,0.5165065
124,0.51658773
125,0.51613784
126,0.5163596
127,0.5165065
128,0.51658773
129,0.5166255
130,0.5163596
131,0.5165065
132,0.51658773
133,0.5166255
134,0.5167413
135,0.5165065
136,0.51658773
137,0.5166255
138,0.5167413
139,0.51693714
140,0.51658773
141,0.5166255
142,0.5167413
143,0.51693714
144,0.5170995
145,0.5166255
146,0.5167413
147,0.51693714
148,0.5170995
149,0.5174262
150,0.5167413
151,0.51693714
152,0.5170995
153,0.5174262
154,0.5177404
155,0.51693714
156,0.5170995
157,0.5174262
158,0.5177404
159,0.517955
160,0.5170995
161,0.5174262
162,0.5177404
163,0.517955
164,0.5182195
165,0.5174262
166,0.5177404
167,0.517955
