time,control
16400.0,-6.987039415008603e-07
16401.000080651665,9.598122687427741e-06
16402.00016130333,1.7358385428909033e-05
16403.000241954996,1.86162315177887e-05
16404.000322606662,1.4948055727112513e-05
16405.000403258327,1.0373279113015061e-05
16406.000483909993,4.547512446560665e-06
16407.00056456166,2.721251430043645e-07
16408.000645213324,-5.239900804714253e-06
16409.00072586499,-9.68481648791835e-06
16410.000806516655,-9.90941675087442e-06
16411.00088716832,-5.8996993127035384e-06
16412.000967819986,2.4252615713099234e-06
16413.00104847165,1.251346795105662e-05
16414.001129123317,2.2952852186381527e-05
16415.001209774982,3.282852231975824e-05
16416.001290426648,4.174284618779138e-05
16417.001371078313,4.582922452470628e-05
16418.00145172998,4.642637156881445e-05
16419.001532381644,3.865235622742098e-05
16420.00161303331,2.7425577887610868e-05
16421.001693684975,2.022132469078423e-05
16422.00177433664,1.6245795984369327e-05
16423.001854988306,1.5290298894770165e-05
16424.00193563997,1.5031816605660498e-05
16425.002016291637,1.856714206849433e-05
16426.002096943303,2.475415958752423e-05
16427.002177594968,3.0123570415410187e-05
16428.002258246634,2.8284369224593156e-05
16429.0023388983,2.1846821484409608e-05
16430.002419549965,1.6553079882439624e-05
16431.00250020163,1.5159316506096781e-05
16432.002580853296,1.3261711937253378e-05
16433.00266150496,6.562790685113619e-06
16434.002742156626,1.296677702714942e-06
16435.002822808292,1.0000832886386157e-06
16436.002903459957,5.752810025558427e-06
16437.002984111623,9.856771704450147e-06
16438.00306476329,1.120301362946555e-05
16439.003145414954,1.2452126213050064e-05
16440.00322606662,1.145852046263241e-05
16441.003306718285,5.307723288915425e-06
16442.00338736995,-2.4279759780057143e-06
16443.003468021616,-8.345967734111994e-06
16444.00354867328,-9.448969540441887e-06
16445.003629324947,-9.35080174351589e-06
16446.003709976612,-6.206236163208677e-06
16447.003790628278,-3.407285462258503e-06
16448.003871279943,-2.847508243251228e-06
16449.00395193161,-3.7511891711073152e-06
16450.004032583274,-1.1070101949710996e-05
16451.00411323494,-2.0909094810475927e-05
16452.004193886605,-2.6803372317137967e-05
16453.00427453827,-2.8735593435649452e-05
16454.004355189936,-2.9951104052967463e-05
16455.0044358416,-3.222505910573365e-05
16456.004516493267,-3.401782285404425e-05
16457.004597144933,-3.112244426582953e-05
16458.004677796598,-3.0385195788720646e-05
16459.004758448264,-3.042558284445804e-05
16460.00483909993,-2.947179407295912e-05
16461.004919751595,-2.6827585927490668e-05
16462.00500040326,-2.4918795285171594e-05
16463.005081054926,-2.3796793684679438e-05
16464.00516170659,-2.05751872399617e-05
16465.005242358253,-1.9454740888272828e-05
16466.00532300992,-1.670670674045969e-05
16467.005403661584,-1.7072119187352626e-05
16468.00548431325,-2.1483206374976913e-05
16469.005564964915,-2.853652060370381e-05
16470.00564561658,-3.56359515155925e-05
16471.005726268246,-3.960149156906452e-05
16472.00580691991,-3.64709514303165e-05
16473.005887571577,-2.830967224850717e-05
16474.005968223242,-1.779649768174364e-05
16475.006048874908,-9.4549268811699e-06
16476.006129526573,-3.4134211856086545e-06
16477.00621017824,-6.054257482999835e-07
16478.006290829904,-1.520627626194635e-06
16479.00637148157,-5.203913358363507e-06
16480.006452133235,-8.19361899663372e-06
16481.0065327849,-1.093418905869626e-05
16482.006613436566,-9.951811763127556e-06
16483.00669408823,-7.0155120094544245e-06
16484.006774739897,-4.216936445650557e-06
16485.006855391563,-1.8031547303446838e-06
16486.006936043228,-2.2433150721493885e-06
16487.007016694894,5.1310823155359205e-08
16488.00709734656,6.4339152906452796e-06
16489.007177998225,1.3524604407595009e-05
16490.00725864989,1.803340954103461e-05
16491.007339301555,1.977288526573983e-05
16492.00741995322,2.056927065542874e-05
16493.007500604886,1.86845399194914e-05
16494.007581256552,1.4010447991839656e-05
16495.007661908217,6.644222172656886e-06
16496.007742559883,3.723898112206976e-06
16497.00782321155,4.783143943261903e-06
16498.007903863214,7.312533639436927e-06
16499.00798451488,1.0358337212172351e-05
16500.008065166545,1.5126940229994634e-05
16501.00814581821,2.142969989047146e-05
16502.008226469876,2.694593018295906e-05
16503.00830712154,2.9453498123194125e-05
16504.008387773207,3.0059851723614825e-05
16505.008468424872,2.831818932894021e-05
16506.008549076538,2.5630503941312677e-05
16507.008629728203,2.201183661291956e-05
16508.00871037987,2.0781289608298023e-05
16509.008791031534,2.601975677713673e-05
16510.0088716832,3.199236052182241e-05
16511.008952334865,3.617824516052666e-05
16512.00903298653,3.3950471923635395e-05
16513.009113638196,2.7643797396899927e-05
16514.00919428986,2.2802707205461072e-05
16515.009274941527,1.7067215084768847e-05
16516.009355593193,1.0850189723315867e-05
16517.009436244858,5.710960469611611e-06
16518.009516896524,5.484385234831276e-06
16519.00959754819,7.1080456597757866e-06
16520.009678199855,1.1147411214185922e-05
16521.00975885152,1.1409062767390203e-05
16522.009839503186,7.722631015203587e-06
16523.00992015485,4.95764981253616e-06
16524.010000806516,1.0514515663379138e-05
16525.010081458182,1.547260847196934e-05
16526.010162109847,1.5631092654211387e-05
16527.010242761513,8.839613880397658e-06
16528.01032341318,1.3918489663751906e-07
16529.010404064844,-4.7655378138936555e-06
16530.01048471651,-8.119326327039278e-06
16531.010565368175,-7.325386803047289e-06
16532.01064601984,-5.905364447584417e-06
16533.010726671506,-5.471212945959671e-06
16534.01080732317,-1.0900073035690579e-05
16535.010887974837,-2.4147644235417256e-05
16536.010968626502,-4.1163631068969486e-05
16537.011049278168,-5.162822115314449e-05
16538.011129929833,-5.0653545214669145e-05
16539.0112105815,-4.4404495406954016e-05
16540.011291233164,-3.935760720624617e-05
16541.01137188483,-3.417768581342642e-05
16542.011452536495,-2.6614688064869756e-05
16543.01153318816,-1.8651932707883338e-05
16544.011613839826,-9.559230668909188e-06
16545.01169449149,-2.102784438721309e-06
16546.011775143157,3.792715649454973e-06
16547.011855794823,1.133678293300209e-05
16548.011936446488,1.847479529582993e-05
16549.012017098154,2.3597220251475306e-05
16550.01209774982,2.537806095721333e-05
16551.012178401485,1.9671403043954445e-05
16552.01225905315,1.1568504027455482e-05
16553.012339704816,7.873230804992786e-06
16554.01242035648,8.039081387136307e-06
16555.012501008147,9.859782524630324e-06
16556.012581659812,9.487574255366521e-06
16557.012662311477,6.469212136945768e-06
16558.012742963143,1.1195591351267928e-05
16559.01282361481,1.9735274202690657e-05
16560.012904266474,2.5273444198033374e-05
16561.01298491814,1.9550800826928955e-05
16562.013065569805,7.128964714341493e-06
16563.01314622147,-2.767463470918696e-06
16564.013226873136,-6.261119123433475e-06
16565.0133075248,-6.040856872053665e-06
16566.013388176467,-1.3188902999676728e-05
16567.013468828132,-2.5422649258796474e-05
16568.013549479798,-3.237736229315933e-05
16569.013630131463,-2.819288465403341e-05
16570.01371078313,-1.955892605748047e-05
16571.013791434794,-1.5205254164055214e-05
16572.01387208646,-1.4111280791730261e-05
16573.013952738125,-1.2702645203697958e-05
16574.01403338979,-1.2701300720835514e-05
16575.014114041456,-1.6376955657619737e-05
16576.01419469312,-1.7007040966077995e-05
16577.014275344787,-1.43018060839308e-05
16578.014355996453,-5.423663061079806e-06
16579.014436648118,3.819431252294011e-06
16580.014517299784,6.043750864212396e-06
16581.01459795145,2.031151151652277e-06
16582.014678603115,-8.451669280852586e-06
16583.01475925478,-1.403453683554192e-05
16584.014839906446,-1.4210625459302173e-05
16585.01492055811,-9.651837431668826e-06
16586.015001209777,-8.3550832052671e-06
16587.015081861442,-9.206741893725239e-06
16588.015162513107,-8.444355286166565e-06
16589.015243164773,-9.80269710175797e-06
16590.01532381644,-1.4763020383451662e-05
16591.015404468104,-2.0502715559935142e-05
16592.01548511977,-2.142567907964129e-05
16593.015565771435,-1.4037618409115159e-05
16594.0156464231,-1.966767760592767e-06
16595.015727074766,4.4575917897721545e-06
16596.015807726428,6.744444931080073e-06
16597.015888378093,2.7032092688260045e-06
16598.01596902976,-2.4437274956545327e-06
16599.016049681424,-1.0970355535519064e-05
16600.01613033309,-2.3580108371189702e-05
16601.016210984755,-3.116878652740742e-05
16602.01629163642,-3.049507504887199e-05
16603.016372288086,-2.3683507567703555e-05
16604.01645293975,-1.4974148623008797e-05
16605.016533591417,-3.952674074130712e-06
16606.016614243083,6.1937526005694364e-06
16607.016694894748,9.478451516083907e-06
16608.016775546414,9.065092292492542e-06
16609.01685619808,3.263697379166051e-06
16610.016936849745,-1.7086196209668615e-06
16611.01701750141,-6.466950554055934e-06
16612.017098153075,-1.4349879485157618e-05
16613.01717880474,-2.020491006376487e-05
16614.017259456406,-2.0257036149494943e-05
16615.017340108072,-7.721056190999542e-06
16616.017420759737,1.201065603433542e-05
16617.017501411403,2.8509616211843665e-05
16618.01758206307,3.4051390593270404e-05
16619.017662714734,2.9046085649116366e-05
16620.0177433664,2.359298039852173e-05
16621.017824018065,2.309713203133031e-05
16622.01790466973,2.3466609192730974e-05
16623.017985321396,1.9201871480841103e-05
16624.01806597306,8.511110315054878e-06
16625.018146624727,-3.3419796750229025e-06
16626.018227276392,-9.659385897305555e-06
16627.018307928058,-9.533270402795673e-06
16628.018388579723,-3.136022476054836e-06
16629.01846923139,-8.110992142692494e-07
16630.018549883054,-1.7965485052983383e-06
16631.01863053472,1.3853265479952154e-06
16632.018711186385,6.963580290815756e-06
16633.01879183805,1.1834114422783176e-05
16634.018872489716,1.3529730793489392e-05
16635.01895314138,1.4791547263298415e-05
16636.019033793047,2.145297849127849e-05
16637.019114444713,3.027548416286652e-05
16638.019195096378,3.63774240266895e-05
16639.019275748044,3.9549905949334035e-05
16640.01935639971,3.8169997452520766e-05
16641.019437051375,3.335432388661903e-05
16642.01951770304,3.164148253363771e-05
16643.019598354706,2.9771367303024113e-05
16644.01967900637,2.5248932157179583e-05
16645.019759658036,1.5530935368647858e-05
16646.019840309702,4.068530030692212e-06
16647.019920961367,-3.6373085875063773e-06
16648.020001613033,-3.450347257716603e-07
16649.0200822647,8.911497100897561e-06
16650.020162916364,2.126417459373176e-05
16651.02024356803,3.0408226742156867e-05
16652.020324219695,3.429023069469276e-05
16653.02040487136,3.167482837819117e-05
16654.020485523026,2.7302535653645704e-05
16655.02056617469,2.0848676603180168e-05
16656.020646826357,1.269193666741699e-05
16657.020727478022,8.152509801368356e-06
16658.020808129688,4.908561891934488e-06
16659.020888781353,6.5268329356516416e-06
16660.02096943302,1.2630090861691698e-05
16661.021050084684,1.7508057620841806e-05
16662.02113073635,2.3354735899181436e-05
16663.021211388015,2.900296268273956e-05
16664.02129203968,3.17447915262047e-05
16665.021372691346,2.9559793796049304e-05
16666.02145334301,2.3430079716821036e-05
16667.021533994677,1.643544038482808e-05
16668.021614646343,7.584419280488786e-06
16669.021695298008,-1.6158538827316885e-06
16670.021775949674,-5.190463428164163e-06
16671.02185660134,-2.3222935060949275e-06
16672.021937253005,1.9098058891273984e-06
16673.02201790467,-2.0987462299347303e-06
16674.022098556336,-1.0988535263301483e-05
16675.022179208,-1.7678371322964414e-05
16676.022259859667,-1.914320107245824e-05
16677.022340511332,-1.550605137181646e-05
16678.022421162997,-1.3472369123850166e-05
16679.022501814663,-1.7530039165070665e-05
16680.02258246633,-2.2542262178529594e-05
16681.022663117994,-2.491130766045558e-05
16682.02274376966,-2.432591648189645e-05
16683.022824421325,-2.0051357650846566e-05
16684.02290507299,-1.4970540285538582e-05
16685.022985724656,-1.7266460168589533e-05
16686.02306637632,-2.315138269197563e-05
16687.023147027987,-3.026417546376859e-05
16688.023227679652,-3.421258967055624e-05
16689.023308331318,-3.137064847287258e-05
16690.023388982983,-2.5018183609096826e-05
16691.02346963465,-1.9700477237622224e-05
16692.023550286314,-1.8288612653706357e-05
16693.02363093798,-2.6020211083227643e-05
16694.023711589645,-3.4050848618485264e-05
16695.02379224131,-3.1932442821392976e-05
16696.023872892976,-2.6070766579199837e-05
16697.02395354464,-2.1687653422135116e-05
16698.024034196307,-2.185840440423399e-05
16699.024114847973,-2.4463794785930645e-05
16700.024195499638,-2.2937007050091316e-05
16701.024276151304,-2.2269337514741914e-05
16702.02435680297,-2.2367233093488123e-05
16703.024437454635,-2.3574425178997978e-05
16704.0245181063,-2.35923169907826e-05
16705.024598757966,-2.1877184347586256e-05
16706.02467940963,-1.9623537439697467e-05
16707.024760061297,-1.321651854564352e-05
16708.024840712962,-7.148238686374174e-06
16709.024921364628,-6.247827444970842e-06
16710.025002016293,-6.983955144884354e-06
16711.02508266796,-4.705641829331182e-06
16712.025163319624,-1.0020745574602252e-06
16713.02524397129,2.707207302001367e-06
16714.025324622955,3.482417632498608e-06
16715.02540527462,-8.333790063626324e-07
16716.025485926286,-4.322993862040902e-06
16717.02556657795,-2.1339168066623037e-06
16718.025647229617,8.482093155186789e-06
16719.025727881282,2.1053742433679276e-05
16720.025808532948,2.1973363813596655e-05
16721.025889184613,1.4392776103345761e-05
16722.02596983628,4.528117280903286e-06
16723.026050487944,2.6978512734086144e-06
16724.02613113961,6.608230996832343e-06
16725.02621179127,9.254267142266278e-06
16726.02629244294,7.794175386520367e-06
16727.026373094603,4.321514452702219e-06
16728.026453746268,9.450761469294104e-07
16729.026534397934,8.206327509673153e-07
16730.0266150496,-1.0696763740275618e-06
16731.026695701265,-4.812524105467368e-06
16732.02677635293,-7.891529635147283e-06
16733.026857004596,-9.717936409281728e-06
16734.02693765626,-8.58494824000578e-06
16735.027018307926,-9.282321670606504e-06
16736.027098959592,-1.1268546878809656e-05
16737.027179611257,-8.612404608458684e-06
16738.027260262923,-3.42198769909634e-06
16739.02734091459,2.5352777497212525e-07
16740.027421566254,-2.879827934614291e-06
16741.02750221792,-7.1450282906687e-06
16742.027582869585,-8.622384222778476e-06
16743.02766352125,-2.3981542856165877e-06
16744.027744172916,5.470039141394876e-06
16745.02782482458,1.3073351590152403e-05
16746.027905476247,1.859662682423732e-05
16747.027986127912,2.0303909682114455e-05
16748.028066779578,1.7395516169378702e-05
16749.028147431243,1.2128366959131411e-05
16750.02822808291,4.2357167023069255e-06
16751.028308734574,-3.4472811360198987e-06
16752.02838938624,-6.04862484532591e-06
16753.028470037905,-2.886636329461712e-06
16754.02855068957,3.3528569162588724e-06
16755.028631341236,9.080079458206605e-06
16756.0287119929,9.450354479420964e-06
16757.028792644567,6.722184364318093e-06
16758.028873296233,6.194859747770642e-06
16759.028953947898,6.482284809381437e-06
16760.029034599564,7.996969858767854e-06
16761.02911525123,6.6059650175622516e-06
16762.029195902895,5.081088803714235e-06
16763.02927655456,7.85642483176186e-06
16764.029357206226,1.0151685423839356e-05
16765.02943785789,7.909913081150306e-06
16766.029518509557,6.736687342434758e-06
16767.029599161222,1.0056919011504736e-05
16768.029679812887,2.231882399344957e-05
16769.029760464553,3.541159432532233e-05
16770.02984111622,4.084591192769403e-05
16771.029921767884,3.882543593872526e-05
16772.03000241955,3.17517017963964e-05
16773.030083071215,1.988976300511771e-05
16774.03016372288,9.280036872676112e-06
16775.030244374546,4.369885764295618e-06
16776.03032502621,4.455794002052026e-06
16777.030405677877,1.1426501542983645e-05
16778.030486329542,1.8801034815341712e-05
16779.030566981208,2.1552613163914187e-05
16780.030647632873,1.6792848656643e-05
16781.03072828454,7.171515368412964e-06
16782.030808936204,-1.9131141853866117e-08
16783.03088958787,-3.9225352002788466e-06
16784.030970239535,-4.3167307842659975e-06
16785.0310508912,-5.106962122219224e-06
