time,p_rate
30800.0,-6.86181270844509
30801.000080651665,-9.8494917539898
30802.00016130333,-12.579961466347246
30803.000241954996,-15.109103668795223
30804.000322606662,-17.490085110092135
30805.000403258327,-19.73591725107424
30806.000483909993,-21.830165969532946
30807.00056456166,-23.76490718372218
30808.000645213324,-25.51021342132974
30809.00072586499,-27.040892035022353
30810.000806516655,-28.385552168589832
30811.00088716832,-29.62061742017821
30812.000967819986,-30.80787898009801
30813.00104847165,-31.970576717561492
30814.001129123317,-33.099255993743675
30815.001209774982,-34.15917806808007
30816.001290426648,-35.121499275645014
30817.001371078313,-35.94840250689537
30818.00145172998,-36.55561623709493
30819.001532381644,-36.85608329243415
30820.00161303331,-36.85296415806204
30821.001693684975,-36.61946475302679
30822.00177433664,-36.18811087608941
30823.001854988306,-35.567028324252945
30824.00193563997,-34.7811795355835
30825.002016291637,-33.859693837542004
30826.002096943303,-32.787604778158105
30827.002177594968,-31.54449223526703
30828.002258246634,-30.15995156171897
30829.0023388983,-28.719708682457743
30830.002419549965,-27.307020767108963
30831.00250020163,-25.93466659931565
30832.002580853296,-24.583251785684904
30833.00266150496,-23.235404646674212
30834.002742156626,-21.890460357364685
30835.002822808292,-20.542765248824455
30836.002903459957,-19.18036759571145
30837.002984111623,-17.82530617250363
30838.00306476329,-16.536871345706146
30839.003145414954,-15.344023985548839
30840.00322606662,-14.202220086480677
30841.003306718285,-13.007245744348406
30842.00338736995,-11.663287832105247
30843.003468021616,-10.141479367978391
30844.00354867328,-8.486335178524445
30845.003629324947,-6.812330160494205
30846.003709976612,-5.2440249385633315
30847.003790628278,-3.820686498260146
30848.003871279943,-2.4738499987023737
30849.00395193161,-1.1218027905325285
30850.004032583274,0.24817449826513618
30851.00411323494,1.5747105717400118
30852.004193886605,2.7743002652367648
30853.00427453827,3.7582227799737047
30854.004355189936,4.508400817805944
30855.0044358416,5.130421128597456
30856.004516493267,5.797124415628012
30857.004597144933,6.599870220652006
30858.004677796598,7.467683649002659
30859.004758448264,8.2477761823484
30860.00483909993,8.852276001546782
30861.004919751595,9.289265705246846
30862.00500040326,9.579138882290998
