time,control
45200.0,-0.00017152080573728688
45201.00008065166,-0.00020528086773534225
45202.00016130333,-0.0002378682689504609
45203.00024195499,-0.00026609657814948587
45204.00032260666,-0.00028755885587224584
45205.000403258324,-0.00030290592184605225
45206.00048390999,-0.00031554841862705297
45207.000564561655,-0.00032915145294571703
45208.000645213324,-0.0003454195463389443
45209.000725864986,-0.00036341352936357965
45210.000806516655,-0.00038036142490815354
45211.00088716832,-0.00039359551372488425
45212.000967819986,-0.0004021022331163459
45213.00104847165,-0.000406724995038189
45214.00112912332,-0.0004089864657191391
45215.00120977498,-0.0004099702034019904
45216.00129042665,-0.00040978505662800303
45217.00137107831,-0.000407883495095444
45218.00145172998,-0.0004029509190592635
45219.00153238164,-0.0003937321126920672
45220.00161303331,-0.0003796065027792436
45221.00169368497,-0.00036141077914847214
45222.00177433664,-0.0003415613805660715
45223.0018549883,-0.0003231571278581248
45224.00193563997,-0.0003078459710727553
45225.00201629163,-0.00029463617084835145
45226.0020969433,-0.00028052251688147974
45227.002177594964,-0.00026288095854518594
45228.00225824663,-0.00024134378048513833
45229.002338898295,-0.00021794182527510748
45230.002419549965,-0.00019583319805076
45231.00250020163,-0.00017707938397748866
45232.002580853296,-0.00016159809313118806
45233.00266150496,-0.00014754520534643363
45234.00274215663,-0.00013220305656612375
45235.00282280829,-0.00011362085637520285
45236.00290345996,-9.198347704584048e-05
45237.00298411162,-6.916515605301995e-05
45238.00306476329,-4.692928727768347e-05
45239.00314541495,-2.4987972751921903e-05
45240.00322606662,-8.617769500331973e-07
45241.00330671828,2.812883434458545e-05
45242.00338736995,6.257938484915855e-05
45243.00346802161,9.89346978180985e-05
45244.00354867328,0.0001309041332936605
45245.00362932494,0.0001536614593009483
45246.00370997661,0.00016719900289162047
45247.003790628274,0.00017606278733718164
45248.00387127994,0.00018620430967183083
45249.003951931605,0.00020239022332843739
45250.004032583274,0.0002260520066500862
45251.004113234936,0.0002549861522342197
45252.004193886605,0.00028439497884838157
45253.00427453827,0.0003103308055517886
45254.004355189936,0.0003323320511296415
45255.0044358416,0.00035234836497720866
45256.00451649327,0.0003719748874058914
45257.00459714493,0.00039140112341270897
45258.0046777966,0.00040980816288471245
45259.00475844826,0.0004255840520676581
45260.00483909993,0.00043657412784232344
45261.00491975159,0.00044220207240499535
45262.00500040326,0.0004451396289524872
45263.00508105492,0.00044873357234013377
45264.00516170659,0.00045298265377001295
45265.00524235825,0.00045389062620998825
45266.00532300992,0.00044646755662194253
45267.005403661584,0.0004286661343807082
45268.00548431325,0.00040255069579078073
45269.005564964915,0.0003734912610597693
45270.005645616584,0.00034651827614040707
45271.005726268246,0.00032238645227564714
45272.005806919915,0.00029857829521989196
45273.00588757158,0.00027277552296160995
45274.005968223246,0.0002443221685698121
45275.00604887491,0.000212431169441414
45276.00612952658,0.0001752243961608763
45277.00621017824,0.00013143981505799794
45278.00629082991,8.207615821731771e-05
45279.00637148157,3.0359761420324888e-05
