time,control
16400.0,-1.9142803705076758e-05
16401.000080651665,-9.504984956544996e-06
16402.00016130333,-2.13436761733876e-06
16403.000241954996,-1.0397627600629093e-06
16404.000322606662,-4.7941811207865835e-06
16405.000403258327,-9.500774332191664e-06
16406.000483909993,-1.5534459583831374e-05
16407.00056456166,-2.0136187337974254e-05
16408.000645213324,-2.6065847598922464e-05
16409.00072586499,-3.106141425325322e-05
16410.000806516655,-3.1954162708271463e-05
16411.00088716832,-2.8631474633315673e-05
16412.000967819986,-2.0904674496086444e-05
16413.00104847165,-1.1206449127098595e-05
16414.001129123317,-8.856655545376525e-07
16415.001209774982,9.174056625265013e-06
16416.001290426648,1.8583771234429254e-05
16417.001371078313,2.3474119451168215e-05
16418.00145172998,2.507930507799347e-05
16419.001532381644,1.8437294372755782e-05
16420.00161303331,8.25250840028294e-06
16421.001693684975,1.8952334227931807e-06
16422.00177433664,-1.3496971904460147e-06
16423.001854988306,-1.6253805360351394e-06
16424.00193563997,-1.1871129748882943e-06
16425.002016291637,3.076671529746968e-06
16426.002096943303,1.0120451623821822e-05
16427.002177594968,1.6549883542396757e-05
16428.002258246634,1.5965750421099366e-05
16429.0023388983,1.0804469364711262e-05
16430.002419549965,6.686804311187924e-06
16431.00250020163,6.38446092990337e-06
16432.002580853296,5.581398268092382e-06
16433.00266150496,-3.729435365110131e-08
16434.002742156626,-4.365640750097362e-06
16435.002822808292,-3.844325098271798e-06
16436.002903459957,1.7219434052930922e-06
16437.002984111623,6.762989618387465e-06
16438.00306476329,9.16237640720895e-06
16439.003145414954,1.1518732637243885e-05
16440.00322606662,1.1687254842488761e-05
16441.003306718285,6.698162216988383e-06
16442.00338736995,-1.1128491298588325e-08
16443.003468021616,-5.091775573556784e-06
16444.00354867328,-5.516971513134077e-06
16445.003629324947,-4.790471954864734e-06
16446.003709976612,-1.039845208846735e-06
16447.003790628278,2.4211525364674296e-06
16448.003871279943,3.6962957180153487e-06
16449.00395193161,3.5098691290399285e-06
16450.004032583274,-3.1259671519374124e-06
16451.00411323494,-1.2483054243098336e-05
16452.004193886605,-1.817650529594837e-05
16453.00427453827,-2.0108910551816548e-05
16454.004355189936,-2.1437630147633575e-05
16455.0044358416,-2.3924411804594477e-05
16456.004516493267,-2.6059501035826925e-05
16457.004597144933,-2.362811287416347e-05
16458.004677796598,-2.3359621599094426e-05
16459.004758448264,-2.392331268295078e-05
16460.00483909993,-2.35648709312931e-05
16461.004919751595,-2.1561992514838117e-05
16462.00500040326,-2.02947003306864e-05
16463.005081054926,-1.98273715082296e-05
16464.00516170659,-1.728903986253417e-05
16465.005242358253,-1.6823357140943634e-05
16466.00532300992,-1.4748572996152216e-05
16467.005403661584,-1.576048923783929e-05
16468.00548431325,-2.0865375217159695e-05
16469.005564964915,-2.8763710614897623e-05
16470.00564561658,-3.6936005491804657e-05
16471.005726268246,-4.221821016559499e-05
16472.00580691991,-4.0582828263554095e-05
16473.005887571577,-3.3921510166579205e-05
16474.005968223242,-2.4777541801498397e-05
16475.006048874908,-1.7596106671622672e-05
16476.006129526573,-1.253800343314571e-05
16477.00621017824,-1.057626277214949e-05
16478.006290829904,-1.2269414720448859e-05
16479.00637148157,-1.6750895762065015e-05
16480.006452133235,-2.0631263298021243e-05
16481.0065327849,-2.434447938357013e-05
16482.006613436566,-2.441689384001292e-05
16483.00669408823,-2.2527566082321334e-05
16484.006774739897,-2.0716152462927845e-05
16485.006855391563,-1.9226800255356527e-05
16486.006936043228,-2.0531954837202452e-05
16487.007016694894,-1.9110587591048478e-05
16488.00709734656,-1.3539188058468363e-05
16489.007177998225,-7.0876784658783605e-06
16490.00725864989,-3.014263272359502e-06
16491.007339301555,-1.5570359694169918e-06
16492.00741995322,-9.503504118970079e-07
16493.007500604886,-2.95204450975506e-06
16494.007581256552,-7.737490510740665e-06
16495.007661908217,-1.5284994916858407e-05
16496.007742559883,-1.853575715193098e-05
16497.00782321155,-1.785759202142206e-05
16498.007903863214,-1.566503381818672e-05
16499.00798451488,-1.2872468431453845e-05
16500.008065166545,-8.254862187329738e-06
16501.00814581821,-1.9498197791513608e-06
16502.008226469876,3.771677044514297e-06
