time,control
30800.0,-0.00011451773781572861
30801.000080651665,-0.00010465890407466062
30802.00016130333,-9.694202061983083e-05
30803.000241954996,-9.126301864491098e-05
30804.000322606662,-8.60827459638441e-05
30805.000403258327,-8.02725533785224e-05
30806.000483909993,-7.415863073987312e-05
30807.00056456166,-6.689758808749746e-05
30808.000645213324,-5.8670911262838346e-05
30809.00072586499,-5.1540822919641675e-05
30810.000806516655,-4.7340051093382926e-05
30811.00088716832,-4.550773559172612e-05
30812.000967819986,-4.4566204276974e-05
30813.00104847165,-4.326227665606192e-05
30814.001129123317,-4.062681310931457e-05
30815.001209774982,-3.6885771885965034e-05
30816.001290426648,-3.169520085382608e-05
30817.001371078313,-2.327450227854804e-05
30818.00145172998,-1.1516902231153335e-05
30819.001532381644,1.1955642048323609e-07
30820.00161303331,8.950032195001721e-06
30821.001693684975,1.653379410301037e-05
30822.00177433664,2.380609421189128e-05
30823.001854988306,3.012158406970084e-05
30824.00193563997,3.532054680593079e-05
30825.002016291637,4.109317364618604e-05
30826.002096943303,4.764850376901428e-05
30827.002177594968,5.306944401709666e-05
30828.002258246634,5.520450956208282e-05
30829.0023388983,5.4148327795319246e-05
30830.002419549965,5.260233525151803e-05
30831.00250020163,5.1799729806466694e-05
30832.002580853296,5.166298083827925e-05
30833.00266150496,5.155171460923362e-05
30834.002742156626,5.165715351034745e-05
30835.002822808292,5.222070204382142e-05
30836.002903459957,5.193950435155563e-05
30837.002984111623,4.938570691114825e-05
30838.00306476329,4.5721839314829014e-05
30839.003145414954,4.376534345128278e-05
30840.00322606662,4.580336653393021e-05
30841.003306718285,5.1513906776280385e-05
30842.00338736995,5.8330918429982096e-05
30843.003468021616,6.344167678176956e-05
30844.00354867328,6.416461234109912e-05
30845.003629324947,6.01131391566103e-05
30846.003709976612,5.4556562416821195e-05
30847.003790628278,5.162424302804943e-05
30848.003871279943,5.182396948915015e-05
30849.00395193161,5.251122947961448e-05
30850.004032583274,5.084612769629197e-05
30851.00411323494,4.59802729517305e-05
30852.004193886605,3.771374998986698e-05
30853.00427453827,2.8754324190109676e-05
30854.004355189936,2.3842038512638587e-05
30855.0044358416,2.5554736991881097e-05
30856.004516493267,3.076924670656964e-05
30857.004597144933,3.3263288708680664e-05
30858.004677796598,2.9900946803142213e-05
30859.004758448264,2.317047806987396e-05
30860.00483909993,1.6749815342823525e-05
30861.004919751595,1.1110838876102369e-05
30862.00500040326,5.000352312334515e-06
30863.005081054926,-8.812913542768715e-07
30864.00516170659,-5.327018583983588e-06
30865.005242358253,-8.047356117111392e-06
30866.00532300992,-8.836009216043018e-06
30867.005403661584,-7.076274575138171e-06
30868.00548431325,-3.22949640513919e-06
30869.005564964915,1.6843786284784045e-06
30870.00564561658,6.3901978426728184e-06
30871.005726268246,8.361075320051174e-06
30872.00580691991,5.5520947423894305e-06
30873.005887571577,9.670556168703547e-07
30874.005968223242,-1.1307634241964597e-06
